image	cycles	octets
Img_tk_049_ND0	21372	11638
Img_tk_050_ND0	20827	11045
Img_tk_028_ND0	19379	10749
Img_tk_048_ND0	18775	10692
Img_tk_048_XD0	18684	10607
Img_tk_key_022_XD0	17454	10171
Img_tk_key_022_ND0	17427	10104
Img_tk_033_ND0	18914	9893
Img_tk_012_055_ND0	14196	7945
Img_tk_027_XD0	16596	9332
Img_tk_012_055_XD0	14161	8028
Img_tk_034_ND0	17273	9251
Img_tk_027_ND0	16582	9246
Img_tk_053_ND0	15293	8977
Img_tk_053_XD0	15225	8935
Img_tk_046_XD0	15216	8805
Img_tk_046_ND0	15255	8803
Img_tk_012_038b_XD0	15207	8647
Img_tk_012_038b_ND0	15240	8620
Img_tk_052_ND0	13547	8531
Img_tk_052_XD0	13473	8477
Img_tk_032_ND0	14316	8343
Img_tk_038b_XD0	14079	8232
Img_tk_012_ND0	14167	8180
Img_tk_012_XD0	13942	8175
Img_tk_038b_ND0	14135	8174
Img_tk_005_XD0	13477	8112
Img_tk_005_ND0	13485	8091
Img_tk_key_004_ND0	13357	8027
Img_tk_022_ND0	13614	7993
Img_tk_022_XD0	13518	7991
Img_tk_047_XD0	13321	7958
Img_tk_047_ND0	13251	7868
Img_tk_010_XD0	12894	7848
Img_tk_010_ND0	12879	7826
Img_tk_044_ND0	12992	7635
Img_tk_035_ND0	11916	7607
Img_tk_009_ND0	12741	7515
Img_tk_009_XD0	12687	7484
Img_tk_055_ND0	13284	7324
Img_tk_011_ND0	12290	7318
Img_tk_011_XD0	12185	7297
Img_tk_054_ND0	12882	7265
Img_tk_045_ND0	12067	7247
Img_tk_045_XD0	12080	7241
Img_tk_055_XD0	13365	7226
Img_tk_054_XD0	12838	7198
Img_tk_043_XD0	12278	7164
Img_tk_043_ND0	12184	7110
Img_tk_037_XD0	11928	7062
Img_tk_036_ND0	11418	7033
Img_tk_037_ND0	11877	7014
Img_tk_029_ND0	11522	7014
Img_tk_024_XD0	12081	6955
Img_tk_024_ND0	12042	6918
Img_tk_002_ND0	11192	6799
Img_tk_038_ND0	11808	6746
Img_tk_025_XD0	11930	6710
Img_tk_025_ND0	11852	6705
Img_tk_038_XD0	11797	6686
Img_tk_006_XD0	10820	6572
Img_tk_006_ND0	10793	6569
Img_tk_031_ND0	10370	6424
Img_tk_030_ND0	10214	6411
Img_tk_051_ND0	9914	6380
Img_tk_026_XD0	10982	6283
Img_tk_040_ND0	10698	6240
Img_tk_026_ND0	10771	6235
Img_tk_040_XD0	10684	6153
Img_tk_019_ND0	9832	5713
Img_tk_019_XD0	9773	5636
Img_tk_014_ND0	9493	5496
Img_tk_014_XD0	9439	5428
Img_tk_023_XD0	8681	5226
Img_tk_023_ND0	8628	5187
Img_tk_039_XD0	8533	5149
Img_tk_039_ND0	8470	5103
Img_tk_013_XD0	8360	5071
Img_tk_013_ND0	8311	5039
Img_tk_018_XD0	8309	5031
Img_tk_004_ND0	7820	5025
Img_tk_018_ND0	8267	5003
Img_tk_008_XD0	7593	4851
Img_tk_008_ND0	7558	4809
Img_tk_041_XD0	8517	4720
Img_tk_041_ND0	8520	4708
Img_tk_003_ND0	7084	4464
Img_tk_020_ND0	7796	4378
Img_tk_020_XD0	7766	4359
Img_tk_007_ND0	6732	4195
Img_tk_007_XD0	6723	4166
Img_tk_021_XD0	6610	4088
Img_tk_021_ND0	6654	4045
Img_tk_015_ND0	6351	3460
Img_tk_015_XD0	6310	3440
Img_tk_012_017_ND0	5197	3312
Img_tk_012_017_XD0	5203	3306
Img_tk_042_XD0	5699	3291
Img_tk_042_ND0	5613	3259
Img_tk_017_ND0	3614	2287
Img_tk_017_XD0	3582	2249
Img_tk_016_ND0	2230	1416
Img_tk_016_XD0	2219	1402
